1975,716,0.11,6434,0.24,13744,0.11,12394,0.12,0.09,1.31
1976,624,0.1,6953,0.21,14968,0.1,14015,0.11,0.13,0.81
1977,594,0.09,6427,0.21,14294,0.09,13532,0.1,0.27,0.35
1978,587,0.09,5538,0.2,12577,0.09,11479,0.09,0.34,0.27
1979,398,0.09,4004,0.21,9515,0.09,9113,0.09,0.55,0.16
1980,458,0.1,3269,0.22,7557,0.1,6414,0.11,0.47,0.21
1981,408,0.11,2860,0.25,6732,0.11,5804,0.12,0.54,0.19
1982,369,0.12,2629,0.28,6100,0.12,5315,0.14,0.44,0.25
1983,306,0.14,2354,0.32,5455,0.14,4880,0.15,0.45,0.28
1984,372,0.13,2597,0.3,5716,0.14,4748,0.16,0.21,0.66
1985,366,0.13,2737,0.28,6146,0.13,5342,0.15,0.35,0.36
1986,507,0.11,2780,0.28,6445,0.12,4954,0.16,0.57,0.24
1987,558,0.12,2876,0.29,6738,0.12,5109,0.16,0.73,0.19
1988,771,0.11,3313,0.29,7765,0.12,5225,0.18,0.85,0.19
1989,1003,0.09,4469,0.2,10299,0.09,6999,0.13,0.67,0.21
1990,935,0.08,3826,0.2,9851,0.08,7287,0.11,1.37,0.08
1991,894,0.09,3212,0.24,8277,0.09,5521,0.14,1.52,0.07
1992,820,0.15,3337,0.36,8053,0.15,5516,0.22,1.19,0.12
1993,1490,0.16,6118,0.37,13506,0.17,8059,0.28,0.34,0.51
1994,1414,0.16,9775,0.34,20574,0.16,17232,0.19,0.04,3.46
1995,1744,0.14,13864,0.31,28967,0.15,25571,0.17,0,0
1996,1792,0.13,17579,0.28,36752,0.13,33884,0.14,0,0
1997,1848,0.12,20671,0.26,42926,0.12,40570,0.13,0,0
1998,2490,0.12,25210,0.24,52670,0.11,33938,0.18,0,60.73
1999,2267,0.11,28031,0.23,59234,0.11,39156,0.17,0.09,1.2
2000,2773,0.11,30590,0.23,64627,0.11,43609,0.16,0.07,1.41
2001,3039,0.1,34836,0.21,73266,0.1,48654,0.15,0.02,6.92
2002,2841,0.09,38266,0.19,80294,0.09,55666,0.13,0,0
2003,2931,0.08,40196,0.17,84597,0.08,63574,0.11,0,0
2004,2570,0.08,39073,0.16,83214,0.07,65846,0.09,0.06,1.37
2005,2194,0.07,34421,0.16,74590,0.07,61550,0.09,0.14,0.57
2006,1762,0.08,27515,0.17,60773,0.08,51390,0.09,0.24,0.36
2007,1733,0.08,23425,0.18,50835,0.08,41309,0.1,0.15,0.6
2008,1648,0.08,23133,0.18,49216,0.08,38124,0.11,0.07,1.41
2009,1833,0.08,23589,0.17,50159,0.08,37606,0.11,0.05,1.9
2010,1965,0.08,23444,0.16,50701,0.08,36388,0.11,0.09,0.97
2011,2201,0.07,22111,0.15,49352,0.07,32702,0.1,0.21,0.42
2012,1995,0.07,19596,0.15,43434,0.07,25951,0.11,0.31,0.29
2013,2026,0.07,21316,0.14,44065,0.07,25472,0.12,0.1,0.98
2014,4494,0.07,29570,0.14,61318,0.07,29932,0.14,0.07,1.34
2015,4845,0.06,40512,0.14,84923,0.06,36376,0.15,0,21.25
2016,4667,0.07,43755,0.14,95738,0.06,46250,0.13,0,29.75
2017,4709,0.06,42307,0.14,93750,0.06,52260,0.11,0.11,0.85
2018,3279,0.07,33197,0.17,77266,0.07,58515,0.1,0.23,0.47
2019,2697,0.09,26988,0.21,60587,0.09,22935,0.25,0.53,0.35
